item;coditem;scale;pole;txt_item;ordem;gemini_fator;gemini_faceta
i57;bf_br57;C_pro;1;Gosto de me manter ocupado e fazer as coisas.;57;Conscienciosidade;Produtividade
i58;bf_br58;C_pro;1;Sou eficiente na realização de tarefas.;58;Conscienciosidade;Produtividade
i59;bf_br59;C_pro;1;Gosto de definir metas e objetivos para mim mesmo.;59;Conscienciosidade;Produtividade
i60;bf_br60;C_pro;1;Costumo terminar o que começo.;60;Conscienciosidade;Responsabilidade
i61;bf_br61;C_pro;1;Eu me esforço para aproveitar ao máximo o meu tempo.;61;Conscienciosidade;Produtividade
i62;bf_br62;C_pro;1;Gosto de ser produtivo e realizar muitas coisas em um dia.;62;Conscienciosidade;Produtividade
i63;bf_br63;C_pro;1;Faço um esforço constante para concluir minhas tarefas a tempo.;63;Conscienciosidade;Responsabilidade
i64;bf_br64;C_pro;1;Planejo minha agenda para aproveitar ao máximo o meu dia, evitando deixar tempo ocioso.;64;Conscienciosidade;Organização
i65;bf_br65;C_res;1;Eu cumpro meus compromissos e promessas.;65;Conscienciosidade;Responsabilidade
i66;bf_br66;C_res;1;Levo a sério as tarefas que me são confiadas.;66;Conscienciosidade;Responsabilidade
i67;bf_br67;C_res;1;Se cometo um erro, assumo a responsabilidade por ele.;67;Conscienciosidade;Responsabilidade
i68;bf_br68;C_res;1;Gosto de ser confiável e alguém em quem os outros podem contar.;68;Conscienciosidade;Responsabilidade
i69;bf_br69;C_res;1;Evito adiar ou procrastinar as coisas.;69;Conscienciosidade;Produtividade
i70;bf_br70;C_res;1;Preocupo-me em fazer as coisas da maneira certa.;70;Conscienciosidade;Responsabilidade
i71;bf_br71;C_res;1;Sempre tento fazer o que é esperado de mim.;71;Conscienciosidade;Responsabilidade
i72;bf_br72;C_res;1;Sou uma pessoa que se esforça para manter as coisas sob controle.;72;Conscienciosidade;Organização
i73;bf_br73;N_ans;1;Às vezes, me preocupo muito com coisas que podem dar errado.;73;Neuroticismo;Ansiedade
i74;bf_br74;N_ans;1;Fico inquieto com frequência, como se algo ruim estivesse prestes a acontecer.;74;Neuroticismo;Ansiedade
i75;bf_br75;N_ans;1;Sinto-me tenso e nervoso em situações de estresse.;75;Neuroticismo;Ansiedade
i76;bf_br76;N_ans;1;Tenho dificuldade em relaxar quando estou preocupado.;76;Neuroticismo;Ansiedade
i77;bf_br77;N_ans;1;Às vezes, me sinto sobrecarregado pelas minhas preocupações.;77;Neuroticismo;Ansiedade
i78;bf_br78;N_ans;1;Preocupo-me demais com o que os outros pensam de mim.;78;Neuroticismo;Ansiedade
i79;bf_br79;N_ans;1;Em certas situações, tenho medo irracional.;79;Neuroticismo;Ansiedade
i80;bf_br80;N_ans;1;Raramente consigo parar de pensar nas coisas que me preocupam.;80;Neuroticismo;Ansiedade
i81;bf_br81;N_dep;1;Sinto-me triste e desanimado com frequência.;81;Neuroticismo;Depressão
i82;bf_br82;N_dep;1;Às vezes, tenho dificuldade em encontrar alegria nas coisas que costumava gostar.;82;Neuroticismo;Depressão
i83;bf_br83;N_dep;1;Fico desanimado mesmo quando não há razão aparente para isso.;83;Neuroticismo;Depressão
i84;bf_br84;N_dep;1;Às vezes, sinto que não tenho energia para fazer as coisas.;84;Neuroticismo;Depressão
i85;bf_br85;N_dep;1;Tenho pensamentos negativos sobre mim mesmo.;85;Neuroticismo;Depressão
i86;bf_br86;N_dep;1;Raramente me sinto motivado ou esperançoso em relação ao futuro.;86;Neuroticismo;Depressão
i87;bf_br87;N_dep;1;Às vezes, me sinto vazio por dentro.;87;Neuroticismo;Depressão
i88;bf_br88;N_dep;1;A vida parece pesada e sem sentido em certos momentos.;88;Neuroticismo;Depressão
i89;bf_br89;N_lab;1;Minhas emoções podem mudar rapidamente.;89;Neuroticismo;Labilidade Emocional
i90;bf_br90;N_lab;1;Tenho dificuldade em controlar minhas reações emocionais.;90;Neuroticismo;Labilidade Emocional
i91;bf_br91;N_lab;1;Às vezes, passo de um extremo emocional para outro em pouco tempo.;91;Neuroticismo;Labilidade Emocional
i92;bf_br92;N_lab;1;Pequenas coisas podem me deixar muito chateado.;92;Neuroticismo;Labilidade Emocional
i93;bf_br93;N_lab;1;Fico facilmente emocionado, mesmo em situações cotidianas.;93;Neuroticismo;Labilidade Emocional
i94;bf_br94;N_lab;1;Às vezes, sinto que minhas emoções estão fora do meu controle.;94;Neuroticismo;Labilidade Emocional
i95;bf_br95;N_lab;1;Tenho oscilações emocionais frequentes.;95;Neuroticismo;Labilidade Emocional
i96;bf_br96;N_lab;1;Raramente consigo manter a calma quando algo me afeta emocionalmente.;96;Neuroticismo;Labilidade Emocional
i97;bf_br97;O_cur;1;Gosto de aprender coisas novas sempre que posso.;97;Abertura;Curiosidade Intelectual
i98;bf_br98;O_cur;1;Fico interessado em descobrir como as coisas funcionam.;98;Abertura;Curiosidade Intelectual
i99;bf_br99;O_cur;1;Sempre estou procurando aprender algo que me desafie intelectualmente.;99;Abertura;Curiosidade Intelectual
i100;bf_br100;O_cur;1;Gosto de explorar novos conceitos e ideias.;100;Abertura;Curiosidade Intelectual
i101;bf_br101;O_cur;1;Sinto-me atraído por livros e programas que ampliem meus horizontes.;101;Abertura;Curiosidade Intelectual
i102;bf_br102;O_cur;1;Às vezes, faço perguntas profundas sobre o mundo ao meu redor.;102;Abertura;Curiosidade Intelectual
i103;bf_br103;O_cur;1;Fico intrigado com enigmas e questões complexas.;103;Abertura;Curiosidade Intelectual
i104;bf_br104;O_cur;1;Gosto de pensar sobre o significado mais profundo das coisas.;104;Abertura;Curiosidade Intelectual
i105;bf_br105;O_sen;1;Costumo apreciar a beleza em obras de arte e na natureza.;105;Abertura;Sensibilidade Estética
i106;bf_br106;O_sen;1;Tenho um gosto refinado para coisas estéticas.;106;Abertura;Sensibilidade Estética
i107;bf_br107;O_sen;1;Gosto de criar um ambiente agradável e bonito ao meu redor.;107;Abertura;Sensibilidade Estética
i108;bf_br108;O_sen;1;Sinto-me tocado pela música, arte e paisagens bonitas.;108;Abertura;Sensibilidade Estética
i109;bf_br109;O_sen;1;Às vezes, perco tempo apreciando detalhes bonitos nas coisas.;109;Abertura;Sensibilidade Estética
i110;bf_br110;O_sen;1;Gosto de visitar museus e exposições de arte.;110;Abertura;Sensibilidade Estética
i111;bf_br111;O_sen;1;A estética é importante para mim em minha vida diária.;111;Abertura;Sensibilidade Estética
i112;bf_br112;O_sen;1;Tenho um olho para detalhes que tornam as coisas mais bonitas.;112;Abertura;Sensibilidade Estética
i113;bf_br113;O_ima;1;Gosto de inventar novas maneiras de fazer as coisas.;113;Abertura;Imaginação Criativa
i114;bf_br114;O_ima;1;Às vezes, minha mente vagueia em mundos de imaginação.;114;Abertura;Imaginação Criativa
i115;bf_br115;O_ima;1;Costumo encontrar soluções criativas para os problemas.;115;Abertura;Imaginação Criativa
i116;bf_br116;O_ima;1;Gosto de criar histórias e cenários em minha mente.;116;Abertura;Imaginação Criativa
i117;bf_br117;O_ima;1;Tenho uma imaginação fértil e vívida.;117;Abertura;Imaginação Criativa
i118;bf_br118;O_ima;1;Às vezes, perco-me em pensamentos criativos e inovadores.;118;Abertura;Imaginação Criativa
i119;bf_br119;O_ima;1;Gosto de experimentar novas ideias e abordagens.;119;Abertura;Curiosidade Intelectual
i120;bf_br120;O_ima;1;A imaginação é uma parte importante da minha vida.;120;Abertura;Imaginação Criativa
